[2024-03-27T20:21:07.545+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Process_W3_Data.remove_hash manual__2024-03-27T20:21:02.689928+00:00 [queued]>
[2024-03-27T20:21:07.557+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Process_W3_Data.remove_hash manual__2024-03-27T20:21:02.689928+00:00 [queued]>
[2024-03-27T20:21:07.558+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-27T20:21:07.579+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): remove_hash> on 2024-03-27 20:21:02.689928+00:00
[2024-03-27T20:21:07.588+0000] {standard_task_runner.py:60} INFO - Started process 246 to run task
[2024-03-27T20:21:07.594+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'Process_W3_Data', 'remove_hash', 'manual__2024-03-27T20:21:02.689928+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmp9jkmdhoe']
[2024-03-27T20:21:07.598+0000] {standard_task_runner.py:88} INFO - Job 9: Subtask remove_hash
[2024-03-27T20:21:07.669+0000] {task_command.py:423} INFO - Running <TaskInstance: Process_W3_Data.remove_hash manual__2024-03-27T20:21:02.689928+00:00 [running]> on host d9bdcddb4bab
[2024-03-27T20:21:07.773+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Process_W3_Data' AIRFLOW_CTX_TASK_ID='remove_hash' AIRFLOW_CTX_EXECUTION_DATE='2024-03-27T20:21:02.689928+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-27T20:21:02.689928+00:00'
[2024-03-27T20:21:07.780+0000] {w3c.py:71} WARNING - Starting List Filesu_ex091024.log,u_ex091025.log,u_ex091102.log,u_ex091103.log,u_ex091106.log,u_ex091120.log,u_ex091123.log,u_ex091130.log,u_ex091207.log,u_ex091211.log,u_ex091213.log,u_ex100104.log,u_ex100105.log,u_ex100106.log,u_ex100112.log,u_ex100113.log,u_ex100117.log,u_ex100131.log,u_ex100204.log,u_ex100205.log,u_ex100221.log,u_ex100302.log,u_ex100304.log,u_ex100307.log,u_ex100309.log,u_ex100314.log,u_ex100315.log,u_ex100322.log,u_ex100406.log,u_ex100419.log,u_ex100422.log,u_ex100423.log,u_ex100424.log,u_ex100425.log,u_ex100430.log,u_ex100519.log,u_ex100520.log,u_ex100526.log,u_ex100528.log,u_ex100612.log,u_ex100615.log,u_ex100619.log,u_ex100622.log,u_ex100626.log,u_ex100628.log,u_ex100629.log,u_ex100630.log,u_ex100705.log,u_ex100708.log,u_ex100714.log,u_ex100718.log,u_ex100725.log,u_ex100801.log,u_ex100808.log,u_ex100809.log,u_ex100830.log,u_ex100906.log,u_ex100912.log,u_ex100916.log,u_ex100923.log,u_ex100924.log,u_ex100926.log,u_ex101008.log,u_ex101020.log,u_ex101023.log,u_ex101025.log,u_ex101027.log,u_ex101031.log,u_ex101101.log,u_ex101111.log,u_ex101113.log,u_ex101118.log,u_ex101126.log,u_ex101202.log,u_ex101212.log,u_ex101215.log,u_ex101223.log,u_ex101225.log,u_ex110119.log,u_ex110130.log,u_ex110205.log,u_ex110209.log,u_ex110212.log,u_ex110218.log,u_ex110306.log,u_ex110405.log,u_ex110407.log,u_ex110411.log,u_ex110424.log,u_ex110427.log,u_ex110504.log,u_ex110510.log,u_ex110516.log
[2024-03-27T20:21:07.780+0000] {w3c.py:75} WARNING - calling Clean u_ex091024.log
[2024-03-27T20:21:07.781+0000] {w3c.py:75} WARNING - calling Clean u_ex091025.log
[2024-03-27T20:21:07.782+0000] {w3c.py:75} WARNING - calling Clean u_ex091102.log
[2024-03-27T20:21:07.782+0000] {w3c.py:75} WARNING - calling Clean u_ex091103.log
[2024-03-27T20:21:07.783+0000] {w3c.py:75} WARNING - calling Clean u_ex091106.log
[2024-03-27T20:21:07.784+0000] {w3c.py:75} WARNING - calling Clean u_ex091120.log
[2024-03-27T20:21:07.784+0000] {w3c.py:75} WARNING - calling Clean u_ex091123.log
[2024-03-27T20:21:07.785+0000] {w3c.py:75} WARNING - calling Clean u_ex091130.log
[2024-03-27T20:21:07.785+0000] {w3c.py:75} WARNING - calling Clean u_ex091207.log
[2024-03-27T20:21:07.786+0000] {w3c.py:75} WARNING - calling Clean u_ex091211.log
[2024-03-27T20:21:07.786+0000] {w3c.py:75} WARNING - calling Clean u_ex091213.log
[2024-03-27T20:21:07.787+0000] {w3c.py:75} WARNING - calling Clean u_ex100104.log
[2024-03-27T20:21:07.787+0000] {w3c.py:75} WARNING - calling Clean u_ex100105.log
[2024-03-27T20:21:07.788+0000] {w3c.py:75} WARNING - calling Clean u_ex100106.log
[2024-03-27T20:21:07.789+0000] {w3c.py:75} WARNING - calling Clean u_ex100112.log
[2024-03-27T20:21:07.789+0000] {w3c.py:75} WARNING - calling Clean u_ex100113.log
[2024-03-27T20:21:07.790+0000] {w3c.py:75} WARNING - calling Clean u_ex100117.log
[2024-03-27T20:21:07.790+0000] {w3c.py:75} WARNING - calling Clean u_ex100131.log
[2024-03-27T20:21:07.791+0000] {w3c.py:75} WARNING - calling Clean u_ex100204.log
[2024-03-27T20:21:07.791+0000] {w3c.py:75} WARNING - calling Clean u_ex100205.log
[2024-03-27T20:21:07.791+0000] {w3c.py:75} WARNING - calling Clean u_ex100221.log
[2024-03-27T20:21:07.792+0000] {w3c.py:75} WARNING - calling Clean u_ex100302.log
[2024-03-27T20:21:07.792+0000] {w3c.py:75} WARNING - calling Clean u_ex100304.log
[2024-03-27T20:21:07.793+0000] {w3c.py:75} WARNING - calling Clean u_ex100307.log
[2024-03-27T20:21:07.794+0000] {w3c.py:75} WARNING - calling Clean u_ex100309.log
[2024-03-27T20:21:07.794+0000] {w3c.py:75} WARNING - calling Clean u_ex100314.log
[2024-03-27T20:21:07.795+0000] {w3c.py:75} WARNING - calling Clean u_ex100315.log
[2024-03-27T20:21:07.795+0000] {w3c.py:75} WARNING - calling Clean u_ex100322.log
[2024-03-27T20:21:07.796+0000] {w3c.py:75} WARNING - calling Clean u_ex100406.log
[2024-03-27T20:21:07.796+0000] {w3c.py:75} WARNING - calling Clean u_ex100419.log
[2024-03-27T20:21:07.797+0000] {w3c.py:75} WARNING - calling Clean u_ex100422.log
[2024-03-27T20:21:07.797+0000] {w3c.py:75} WARNING - calling Clean u_ex100423.log
[2024-03-27T20:21:07.798+0000] {w3c.py:75} WARNING - calling Clean u_ex100424.log
[2024-03-27T20:21:07.799+0000] {w3c.py:75} WARNING - calling Clean u_ex100425.log
[2024-03-27T20:21:07.800+0000] {w3c.py:75} WARNING - calling Clean u_ex100430.log
[2024-03-27T20:21:07.801+0000] {w3c.py:75} WARNING - calling Clean u_ex100519.log
[2024-03-27T20:21:07.801+0000] {w3c.py:75} WARNING - calling Clean u_ex100520.log
[2024-03-27T20:21:07.801+0000] {w3c.py:75} WARNING - calling Clean u_ex100526.log
